Time,Symbol,Message
04/07/2017 10:07:12,HBIO,$HBIO relative volume rising 17.318478 times yestersday at 10:07 (time now) (30 second test)
04/07/2017 10:07:00,SMTX,$SMTX relative volume rising 14.596758 times yestersday at 10:07 (time now) (30 second test)
04/07/2017 10:06:51,CNTF,$CNTF relative volume rising 5.408275 times yestersday at 10:06 (time now) (30 second test)
04/07/2017 10:06:45,CBK,$CBK relative volume rising 6.306298 times yestersday at 10:06 (time now) (30 second test)
04/07/2017 10:06:45,GTIM,$GTIM relative volume rising 5.862745 times yestersday at 10:06 (time now) (30 second test)
04/07/2017 10:06:39,GALT,$GALT relative volume rising 5.617808 times yestersday at 10:06 (time now) (30 second test)
04/07/2017 10:06:24,ZX,$ZX relative volume rising 29.819864 times yestersday at 10:06 (time now) (30 second test)
04/07/2017 10:06:21,ICD,$ICD relative volume rising 5.454662 times yestersday at 10:06 (time now) (30 second test)
04/07/2017 10:06:00,NL,$NL relative volume rising 7.223364 times yestersday at 10:06 (time now) (30 second test)
04/07/2017 10:05:57,AMBR,$AMBR relative volume rising 8.026776 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:57,CRME,$CRME relative volume rising 5.212384 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:51,CCCR,"$CCCR relative volume rising 1,257.926211 times yestersday at 10:05 (time now) (30 second test)"
04/07/2017 10:05:51,KBSF,$KBSF relative volume rising 5.008186 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:51,KURA,$KURA relative volume rising 14.633635 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:51,LEDS,$LEDS relative volume rising 19.592153 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:45,ASRV,$ASRV relative volume rising 27.030669 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:30,NXEO,$NXEO relative volume rising 6.285455 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:27,CCCL,$CCCL relative volume rising 29.832551 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:05:15,NXTD,$NXTD relative volume rising 6.430199 times yestersday at 10:05 (time now) (30 second test)
04/07/2017 10:04:30,CLNT,"$CLNT relative volume rising 1,566.348685 times yestersday at 10:04 (time now) (30 second test)"
04/07/2017 10:04:27,BBRG,$BBRG relative volume rising 6.764157 times yestersday at 10:04 (time now) (30 second test)
