Time,Symbol,Message
04/07/2017 10:01:36,CCCR,$CCCR high relative trades 81.742857 times yestersday at 10:01 (30 second test)
04/07/2017 10:01:00,CLNT,$CLNT high relative trades 105.571128 times yestersday at 10:01 (30 second test)
04/07/2017 09:58:51,CCCR,$CCCR high relative trades 81.142857 times yestersday at 09:58 (30 second test)
04/07/2017 09:57:30,CLNT,$CLNT high relative trades 105.484721 times yestersday at 09:57 (30 second test)
04/07/2017 09:55:21,CCCR,$CCCR high relative trades 80.407143 times yestersday at 09:55 (30 second test)
04/07/2017 09:54:30,CLNT,$CLNT high relative trades 105.378293 times yestersday at 09:54 (30 second test)
04/07/2017 09:51:36,CCCR,$CCCR high relative trades 79.75 times yestersday at 09:51 (30 second test)
04/07/2017 09:51:00,CLNT,$CLNT high relative trades 104.851423 times yestersday at 09:51 (30 second test)
04/07/2017 09:48:51,CCCR,$CCCR high relative trades 79.492857 times yestersday at 09:48 (30 second test)
04/07/2017 09:48:00,CLNT,$CLNT high relative trades 104.277134 times yestersday at 09:48 (30 second test)
04/07/2017 09:45:21,CCCR,$CCCR high relative trades 78.057143 times yestersday at 09:45 (30 second test)
04/07/2017 09:44:30,CLNT,$CLNT high relative trades 104.167722 times yestersday at 09:44 (30 second test)
04/07/2017 09:41:51,CCCR,$CCCR high relative trades 75.735714 times yestersday at 09:41 (30 second test)
04/07/2017 09:41:30,CLNT,$CLNT high relative trades 103.729958 times yestersday at 09:41 (30 second test)
04/07/2017 09:38:51,CCCR,$CCCR high relative trades 74.771429 times yestersday at 09:38 (30 second test)
04/07/2017 09:38:00,CLNT,$CLNT high relative trades 103.052798 times yestersday at 09:38 (30 second test)
04/07/2017 09:35:21,CCCR,$CCCR high relative trades 74.235714 times yestersday at 09:35 (30 second test)
04/07/2017 09:35:00,CLNT,$CLNT high relative trades 102.844773 times yestersday at 09:35 (30 second test)
04/07/2017 09:32:21,CCCR,$CCCR high relative trades 73.571429 times yestersday at 09:32 (30 second test)
04/07/2017 09:32:00,CLNT,$CLNT high relative trades 102.519535 times yestersday at 09:32 (30 second test)
04/07/2017 09:29:21,CCCR,$CCCR high relative trades 72.907143 times yestersday at 09:29 (30 second test)
04/07/2017 09:29:00,CLNT,$CLNT high relative trades 101.622222 times yestersday at 09:29 (30 second test)
04/07/2017 09:25:51,CCCR,$CCCR high relative trades 72.342857 times yestersday at 09:25 (30 second test)
04/07/2017 09:25:30,CLNT,$CLNT high relative trades 100.926984 times yestersday at 09:25 (30 second test)
04/07/2017 09:22:51,CCCR,$CCCR high relative trades 71.664286 times yestersday at 09:22 (30 second test)
04/07/2017 09:22:30,CLNT,$CLNT high relative trades 100.420106 times yestersday at 09:22 (30 second test)
04/07/2017 09:19:21,CCCR,$CCCR high relative trades 69.321429 times yestersday at 09:19 (30 second test)
04/07/2017 09:19:00,CLNT,$CLNT high relative trades 98.42963 times yestersday at 09:19 (30 second test)
04/07/2017 09:16:21,CCCR,$CCCR high relative trades 67.557143 times yestersday at 09:16 (30 second test)
04/07/2017 09:16:00,CETC,$CETC high relative trades 18.981445 times yestersday at 09:16 (30 second test)
04/07/2017 09:15:30,CLNT,$CLNT high relative trades 96.934392 times yestersday at 09:15 (30 second test)
04/07/2017 09:13:00,CETC,$CETC high relative trades 18.900591 times yestersday at 09:13 (30 second test)
04/07/2017 09:12:51,CCCR,$CCCR high relative trades 65.521429 times yestersday at 09:12 (30 second test)
04/07/2017 09:12:30,CLNT,$CLNT high relative trades 96.100529 times yestersday at 09:12 (30 second test)
04/07/2017 09:09:30,CETC,$CETC high relative trades 18.792323 times yestersday at 09:09 (30 second test)
04/07/2017 09:09:21,CCCR,$CCCR high relative trades 64.164286 times yestersday at 09:09 (30 second test)
04/07/2017 09:09:00,CLNT,$CLNT high relative trades 95.287831 times yestersday at 09:09 (30 second test)
04/07/2017 09:06:00,CETC,$CETC high relative trades 18.687992 times yestersday at 09:06 (30 second test)
04/07/2017 09:05:51,CCCR,$CCCR high relative trades 62.014286 times yestersday at 09:05 (30 second test)
04/07/2017 09:05:30,CLNT,$CLNT high relative trades 94.806144 times yestersday at 09:05 (30 second test)
04/07/2017 09:03:00,CETC,$CETC high relative trades 18.580709 times yestersday at 09:03 (30 second test)
04/07/2017 09:02:51,CCCR,$CCCR high relative trades 59.7 times yestersday at 09:02 (30 second test)
04/07/2017 09:02:30,CLNT,$CLNT high relative trades 94.764141 times yestersday at 09:02 (30 second test)
04/07/2017 09:00:00,CETC,$CETC high relative trades 18.495079 times yestersday at 09:00 (30 second test)
04/07/2017 08:59:51,CCCR,$CCCR high relative trades 57.664286 times yestersday at 08:59 (30 second test)
